Start time,Category,Name,Distance,Time elapsed,Avg. speed,Avg. pace,Avg. HR,Norm Power,Intensity Factor,Avg. power,Avg. grade,Ascending,Descending,TRIMP,Training Stress Score,ATL Power,CTL Power,TSB (Pre),TSB (Post),Avg. cadence
9/9/2015 8:26:46 AM,Running/Walking,,1.30,00:24:12.6700000,3.2,00:18:37,,171,0.74,122,0.0%,328,-335,0,22,67,88,22,21,51.0
9/8/2015 9:00:40 PM,Running/Walking,,1.30,00:21:01.3000000,3.7,00:16:12,,183,0.79,136,0.5%,732,-558,0,22,67,89,20,22,54.0
9/8/2015 7:45:40 AM,Running/Walking,,1.30,00:21:01.3000000,3.7,00:16:12,,183,0.79,136,0.5%,732,-558,0,22,67,89,20,22,54.0
9/6/2015 8:09:37 PM,Running/Walking,,1.30,00:24:56.4800000,3.1,00:19:10,,151,0.66,114,0.2%,305,-312,0,18,76,92,12,15,50.0
9/6/2015 8:09:37 AM,Running/Walking,,1.30,00:24:56.4800000,3.1,00:19:10,,151,0.66,114,0.2%,305,-312,0,18,76,92,12,15,50.0
9/5/2015 12:42:44 PM,Running/Walking,,3.16,00:21:32.1900000,8.8,00:06:48,,356,1.55,354,0.0%,243,-279,0,86,80,93,13,12,92.0
9/3/2015 11:09:45 AM,Running/Walking,,4.66,00:43:27.6600000,6.4,00:09:19,,255,1.11,223,0.2%,719,-771,0,89,88,95,7,7,81.0
9/2/2015 8:09:37 AM,Running/Walking,,1.30,00:24:56.4800000,3.1,00:19:10,,151,0.66,114,0.2%,305,-312,0,18,88,95,2,7,50.0
9/1/2015 11:20:32 AM,Running/Walking,,7.47,01:21:55.5400000,5.5,00:10:57,,241,1.05,200,0.5%,1601,-1588,0,150,95,97,8,2,71.0
9/1/2015 7:08:47 AM,Running/Walking,Running,1.30,00:20:52.1400000,3.7,00:16:04,,185,0.80,142,-0.2%,400,-774,0,22,95,97,8,2,59.0
8/29/2015 1:09:50 PM,Running/Walking,,10.15,01:51:25.9200000,5.5,00:10:58,,344,1.50,247,0.3%,1801,-1900,0,415,105,99,18,-6,75.0
8/25/2015 11:38:29 AM,Running/Walking,,7.42,01:16:33.0100000,5.8,00:10:18,,248,1.08,208,1.0%,1463,-1463,0,149,99,98,3,-1,74.0
8/23/2015 9:03:28 AM,Running/Walking,,6.34,00:40:59.6800000,9.3,00:06:27,,382,1.66,384,0.0%,466,-446,0,189,103,99,3,-4,93.0
8/22/2015 11:46:59 AM,Running/Walking,,9.94,01:41:55.7200000,5.9,00:10:15,,259,1.13,252,0.1%,1932,-1854,0,215,95,97,12,3,76.0
8/19/2015 9:58:32 AM,Running/Walking,,4.52,00:38:18.9900000,7.1,00:08:28,,284,1.23,251,0.2%,623,-627,0,97,100,99,-1,-1,83.0
8/18/2015 8:36:44 AM,Running/Walking,,8.27,01:17:48.4600000,6.4,00:09:24,,277,1.21,239,0.1%,1703,-1706,0,189,100,99,6,-1,81.0
8/16/2015 9:30:51 AM,Running/Walking,Running,12.96,01:44:21.5200000,7.5,00:08:03,,303,1.32,275,0.1%,1772,-1745,0,303,101,99,14,-1,87.0
8/14/2015 11:37:58 PM,Biking,Rode my bike home up the hill from Montclair bus stop,2.31,00:23:31,5.9,00:10:10,,,,,5.0%,592,-52,0,0,89,97,9,8
8/14/2015 11:17:06 AM,Running/Walking,Running,4.67,00:39:40.2700000,7.1,00:08:29,,282,1.23,244,0.1%,689,-653,0,100,89,97,9,8,85.0
8/12/2015 7:01:08 PM,Running/Walking,Running,4.63,00:40:55.8000000,6.8,00:08:50,,267,1.16,232,0.2%,630,-676,0,92,96,99,2,3,82.0
8/11/2015 10:07:05 AM,Running/Walking,Running,8.09,01:14:59.5500000,6.5,00:09:16,,272,1.18,235,0.2%,1759,-1719,0,175,97,99,9,2,81.0
8/9/2015 7:21:34 PM,Running/Walking,,4.60,00:40:56.8900000,6.7,00:08:54,,272,1.18,234,0.2%,620,-663,0,95,98,100,2,2,81.0
8/8/2015 12:42:44 PM,Running/Walking,Running,3.16,00:21:32.1900000,8.8,00:06:48,,356,1.55,354,0.0%,243,-279,0,86,98,100,9,2,92.0
8/8/2015 12:15:49 PM,Running/Walking,Running,3.20,00:21:58.5700000,8.7,00:06:52,,350,1.52,349,0.0%,410,-358,0,85,98,100,9,2,91.0
8/8/2015 10:37:46 AM,Running/Walking,,3.20,01:02:58.2700000,3.0,00:19:41,,91,0.39,86,0.0%,400,-371,0,16,98,100,9,2,41.0
8/6/2015 6:55:17 PM,Running/Walking,Running,7.37,01:23:31.4000000,5.3,00:11:19,,237,1.03,188,0.2%,1578,-1575,0,148,98,100,6,2,66.0
8/5/2015 12:51:57 PM,Running/Walking,Running,4.64,00:46:25.5400000,6.0,00:10:00,,261,1.14,209,0.3%,640,-620,0,100,93,99,6,6,75.0
8/4/2015 1:42:52 PM,Running/Walking,Running,7.37,01:42:44.3800000,4.3,00:13:56,,216,0.94,157,0.2%,1499,-1545,0,152,92,99,11,6,58.0
8/1/2015 4:27:46 PM,Running/Walking,Running,3.22,00:32:08.5400000,6.0,00:09:59,,287,1.25,236,0.0%,282,-269,0,84,105,102,10,-3,70.0
8/1/2015 3:36:50 PM,Running/Walking,Running,3.13,00:20:59.6000000,8.9,00:06:42,,360,1.57,358,0.0%,279,-341,0,86,105,102,10,-3,91.0
8/1/2015 3:00:54 PM,Running/Walking,Running,3.19,00:21:01.6700000,9.1,00:06:35,,372,1.62,369,0.0%,253,-259,0,92,105,102,10,-3,91.0
7/30/2015 11:18:22 AM,Running/Walking,Running,8.17,01:24:55.9500000,5.8,00:10:24,,246,1.07,207,0.7%,1572,-1578,0,162,98,101,8,3,74.0
7/29/2015 5:20:06 PM,Running/Walking,,4.59,00:39:15.3300000,7.0,00:08:32,,271,1.18,242,0.2%,725,-692,0,91,92,99,8,8,85.0
7/28/2015 8:54:44 AM,Running/Walking,Running,8.29,01:31:04.3300000,5.5,00:10:59,,246,1.07,198,0.4%,1365,-1430,0,174,92,100,15,8,71.0
7/26/2015 8:00:05 AM,Running/Walking,,9.80,01:21:48.9000000,7.2,00:08:21,,289,1.26,266,0.5%,2051,-2047,0,216,92,100,18,8,88.0
7/23/2015 6:52:17 PM,Running/Walking,,2.99,00:24:36.6200000,7.3,00:08:13,,275,1.20,236,0.0%,443,-397,0,59,96,102,3,6,83.0
7/23/2015 7:58:30 AM,Biking,Cycling,8.70,00:44:30,11.7,00:05:06,,,,,-1.3%,348,-1342,0,0,96,102,3,6
7/22/2015 8:46:20 AM,Running/Walking,Running,4.66,00:40:01.0100000,7.0,00:08:35,,267,1.16,239,0.0%,636,-620,0,90,100,103,2,3,86.0
